Requirement ID,Requirement Summary,Architecture Element,Design Document,Implementation File,Test Case,Status,Notes
SYS-SAFE-003,Temporal independence with local clock,QNX Supervisor Timing,docs/ffi_verification_report.md:FFI-TEMPORAL,pi5_linux/ros2_ws/src/health_node/health_node/health_node.py,tests/ffi/ffi_temporal_timing.py,PASS,M7 FFI-TEMPORAL: 60s AI load → Q&A within 15-30ms window — verified 2026-05-11
SYS-SAFE-004,Q&A watchdog window compliance,QAWatchdogServer,docs/safety_mechanisms.md:SM-1,pi400_supervisor/scripts/qnx_wdg_server.py,tests/fault_injection/fi_05_watchdog_failure.py,PASS,M7: 30ms window (15ms closed + 15ms open); response at ~20ms; health_node 20ms cycle — verified
SYS-SAFE-004a,Q&A watchdog failure counter (threshold 3),QAWatchdogServer,docs/safety_mechanisms.md:SM-1,pi400_supervisor/scripts/qnx_wdg_server.py,tests/fault_injection/fi_05_watchdog_failure.py,PASS,M5: counter +1 on fail; -1 after 2 consecutive correct; SAFE_STATE at 3 — verified 2026-05-09
SYS-SAFE-005,CRC integrity check on watchdog channel,QAWatchdogServer E2E,docs/safety_mechanisms.md:SM-1,pi400_supervisor/scripts/qnx_wdg_server.py,tests/ffi/ffi_comm_ros_flood.py,PASS,M7: CRC-16/CCITT-FALSE on seed and response; shared memory NOT implemented (replaced by UDP)
SYS-SAFE-006,Safe state latency <150ms,End-to-End Timing,docs/safety_mechanisms.md:FTTI Analysis,pi400_supervisor/scripts/qnx_wdg_server.py,tests/fault_injection/fi_05_watchdog_failure.py,PASS,M7: 3x30ms + 20ms overhead + 30ms motor = 140ms < 150ms; verified via FI-05 <300ms end-to-end
SYS-SAFE-007,State machine with 5 states,System State Machine,docs/safety_mechanisms.md:SM-3,pi5_linux/ros2_ws/src/decision_node/src/state_evaluator.cpp,pi5_linux/ros2_ws/src/decision_node/test/test_state_evaluator.cpp,PASS,M3/M7: 33 gtest cases; hardware transitions verified 2026-05-09
SYS-SAFE-008,Graceful degradation management,Decision Node,docs/safety_mechanisms.md:SM-3,pi5_linux/ros2_ws/src/decision_node/src/state_evaluator.cpp,pi5_linux/ros2_ws/src/decision_node/test/test_state_evaluator.cpp,PASS,M3: NORMAL=1.0 WARNING=0.5 DEGRADED=0.2 SAFE=0.0 — verified
SYS-PERF-001,Latency <200ms in NORMAL state,End-to-End Pipeline,docs/safety_mechanisms.md:FTTI Analysis,All ROS2 nodes,N/A (architecture analysis),IMPL,Design: ultrasonic 50ms + decision 20ms + actuation <30ms = <100ms; not formally measured
SYS-PERF-002,Camera AI 10 fps minimum,CameraAINode,architecture.md:Camera AI Node,pi5_linux/ros2_ws/src/hand_detection_node + object_detection_node,N/A,PASS,M4: hand_detection_node + object_detection_node both publish at 10 Hz — observed 2026-05-09
SYS-PERF-003,Supervisor CPU <10%,QNX Supervisor,qnx_supervisor.md:WCET Analysis,pi400_supervisor/scripts/qnx_wdg_server.py,N/A,IMPL,Not formally measured; Python supervisor; FFI-TEMPORAL shows no timing impact under load
SYS-IF-001,UDP Q&A watchdog interface,UDP Hardware Interface,docs/safety_mechanisms.md:SM-1,pi5_linux/ros2_ws/src/health_node/health_node/health_node.py,tests/ffi/ffi_comm_ros_flood.py,PASS,M5/M7: UDP port 9001; 30ms window; CRC-16+seq E2E; replaces I2C (DD-002 Option B) — verified
SYS-IF-002,Emergency stop GPIO 25 (Pi400→Pi5) active-low,GPIO Hardware Interface,docs/safety_mechanisms.md:SM-2,pi5_linux/ros2_ws/src/actuator_node/actuator_node/actuator_node.py,tests/fault_injection/fi_05_watchdog_failure.py,PASS,M2/M5: e-stop assert/release verified; Pi400 GPIO 25 → Pi5 GPIO 25 — verified 2026-05-09
SYS-SAFE-009,State LED indicators (Green/Yellow/Red),LED Hardware Interface,docs/safety_mechanisms.md:SM-6,pi5_linux/ros2_ws/src/health_node/health_node/health_node.py,tests/integration/test_state_leds.py,PASS,M3/M7: green OFF in SAFE_STATE; yellow ON in DEGRADED; red ON in SAFE_STATE — verified 2026-05-09
SYS-SAFE-011,Proximity FTTI 100ms,UltrasonicNode + DecisionNode,docs/safety_mechanisms.md:FTTI Analysis,pi5_linux/ros2_ws/src/ultrasonic_node + decision_node,tests/fault_injection/fi_03_both_sensors_invalid.py,PASS,M3+: ultrasonic 20Hz + decision 50Hz → worst-case 80ms < 100ms — architecture verified
SYS-SAFE-010,Red LED wired-OR Pi5/Pi400,LED Circuit,hardware/wiring.md:Red LED Wired-OR,pi400_supervisor/scripts/red_led_test.py,tests/integration/test_red_led_independence.py,PASS,M2: Pi400 independently asserted red LED via 1N4148 diode-OR — verified 2026-05-08
SYS-SAFE-012,Camera hand distance < 20cm → SAFE_STATE,StateEvaluator + HandDetectionNode,docs/safety_mechanisms.md:SM-3,pi5_linux/ros2_ws/src/decision_node/src/state_evaluator.cpp,pi5_linux/ros2_ws/src/decision_node/test/test_state_evaluator.cpp,PASS,M8: CAMERA_HAND_CRITICAL trigger; pinhole model; FOCAL_LENGTH_PX=1200 calibrated — verified 2026-05-11
SYS-IF-003,Shared memory interface,Shared Memory,interfaces.yaml:shared_memory,N/A — not implemented,N/A,NOT-IMPL,Architecture decision: shared memory replaced by UDP Q&A watchdog (DD-002); not required for demonstrator
SYS-IF-004,ROS2 topics per spec,ROS2 Topic Definitions,requirements/interfaces.yaml:topics,All ROS2 nodes,N/A (verified via ros2 topic list),PASS,M2: all topics verified via ros2 topic list and echo — verified 2026-05-08
SYS-OPS-001,Startup sequence with safe default,Startup State Machine,docs/safety_mechanisms.md:SM-2,pi400_supervisor/scripts/qnx_wdg_server.py,tests/fault_injection/fi_05_watchdog_failure.py,PASS,M5: Pi400 asserts GPIO 25 LOW at boot; released after first valid Q&A — verified 2026-05-09
SYS-OPS-002,Graceful shutdown sequence,Shutdown Procedure,N/A,N/A,N/A,NOT-IMPL,Not implemented in demonstrator; Pi400 asserts e-stop on qnx_wdg_server exit (fail-safe)
SYS-OPS-003,Manual reset required from SAFE_STATE,Safe State Exit Logic,docs/safety_mechanisms.md:SM-3,pi5_linux/ros2_ws/src/decision_node/src/state_evaluator.cpp,pi5_linux/ros2_ws/src/decision_node/test/test_state_evaluator.cpp,PASS,M3/M7: SAFE_STATE latch + /reset pending fix verified — 2026-05-11
FSR-001,UDP Q&A watchdog monitoring,QAWatchdogServer,safety_requirements.md:FSR-001,pi400_supervisor/scripts/qnx_wdg_server.py,tests/fault_injection/fi_05_watchdog_failure.py,PASS,M5: stop health_node → SAFE_STATE via GPIO 25 < 300ms — verified 2026-05-09
FSR-002,Safe state transition timing <150ms,SafeStateController,docs/safety_mechanisms.md:FTTI Analysis,pi400_supervisor/scripts/qnx_wdg_server.py,tests/fault_injection/fi_05_watchdog_failure.py,PASS,M7: 3x30ms + overhead = 140ms < 150ms; FI-05 end-to-end < 300ms (3 cycles + GPIO) — verified
FSR-003,Deterministic safety logic,QNX Supervisor Code,docs/safety_mechanisms.md:SM-3,pi5_linux/ros2_ws/src/decision_node/src/state_evaluator.cpp,pi5_linux/ros2_ws/src/decision_node/test/test_state_evaluator.cpp,PASS,M3: C++20 pure function; no AI; 33 gtest; code review — verified 2026-05-08
FSR-004,Spatial isolation architecture,Deployment,docs/ffi_verification_report.md:FFI-SPATIAL,Deployment (Pi5 + Pi400),tests/ffi/ffi_spatial_stress.sh,PASS,M7 FFI-SPATIAL: Pi5 stress → Pi400 unaffected — verified 2026-05-11
FSR-005,Temporal isolation architecture,QNX Scheduling,docs/ffi_verification_report.md:FFI-TEMPORAL,pi5_linux/ros2_ws/src/health_node/health_node/health_node.py,tests/ffi/ffi_temporal_timing.py,PASS,M7 FFI-TEMPORAL: AI load → Q&A window maintained — verified 2026-05-11
FSR-006,Communication integrity E2E,UDP Q&A E2E,docs/safety_mechanisms.md:SM-1,pi400_supervisor/scripts/qnx_wdg_server.py,tests/ffi/ffi_comm_ros_flood.py,PASS,M7: CRC-16+seq on UDP Q&A; ROS2 flood did not affect watchdog — verified 2026-05-11
FSR-007,Fail-safe default state at boot,Safe State Controller,docs/safety_mechanisms.md:SM-2,pi400_supervisor/scripts/qnx_wdg_server.py,tests/fault_injection/fi_05_watchdog_failure.py,PASS,M5: GPIO 25 LOW + red LED ON at Pi400 boot; released after first valid Q&A — verified
FSR-008,Single point of failure documentation,FMEA,docs/safety_mechanisms.md:Known Limitations,docs/safety_mechanisms.md,N/A (design review),PASS,M7/M8: known SPOFs documented in docs/safety_mechanisms.md Known Limitations section
SG-001,Prevent unintended motion,System Architecture,docs/safety_mechanisms.md,All safety components,tests/fault_injection/fi_05_watchdog_failure.py,PASS,M5/M6: SAFE_STATE via watchdog; GPIO 25 motors disabled; FI-05 verified — 2026-05-09
SG-002,Detect supervision failure,Watchdog Mechanism,docs/safety_mechanisms.md:SM-1,pi400_supervisor/scripts/qnx_wdg_server.py,tests/fault_injection/fi_05_watchdog_failure.py,PASS,M5: health_node stop → failure_counter ≥ 3 → SAFE_STATE — verified 2026-05-09
SM-001,Watchdog timer mechanism (30ms window),QAWatchdogServer,docs/safety_mechanisms.md:SM-1,pi400_supervisor/scripts/qnx_wdg_server.py,tests/fault_injection/fi_05_watchdog_failure.py,PASS,M7: 30ms window (15ms closed + 15ms open); replaces original 500ms timeout design
SM-002,CRC-16 integrity check on UDP Q&A,Watchdog E2E,docs/safety_mechanisms.md:SM-1,pi400_supervisor/scripts/qnx_wdg_server.py,tests/ffi/ffi_comm_ros_flood.py,PASS,M7: CRC-16/CCITT-FALSE + seq counter on seed+response; replaces shared memory CRC32
SM-003,State consistency check mechanism,StateEvaluator,docs/safety_mechanisms.md:SM-3,pi5_linux/ros2_ws/src/decision_node/src/state_evaluator.cpp,pi5_linux/ros2_ws/src/decision_node/test/test_state_evaluator.cpp,PASS,M3: isfinite() guard on sensor inputs; priority rules prevent invalid state combinations
SM-004,Emergency stop override mechanism,SafeStateController,docs/safety_mechanisms.md:SM-2,pi400_supervisor/scripts/qnx_wdg_server.py,tests/fault_injection/fi_05_watchdog_failure.py,PASS,M5: GPIO 25 direct wire; independent of decision_node; Pi400 asserts within 10ms — verified
FI-001,Ultrasonic timeout → DEGRADED,UltrasonicNode + StateEvaluator,docs/fault_injection_report.md:FI-01,tests/fault_injection/fi_01_ultrasonic_timeout.py,tests/fault_injection/fi_01_ultrasonic_timeout.py,PASS,M6: DEGRADED via degraded_one_sensor — verified 2026-05-09
FI-002,Camera stop → DEGRADED not SAFE_STATE,CameraAINode + StateEvaluator,docs/fault_injection_report.md:FI-02,tests/fault_injection/fi_02_camera_node_stop.py,tests/fault_injection/fi_02_camera_node_stop.py,PASS,M6: SYS-SAFE-001 confirmed — AI failure = DEGRADED only — verified 2026-05-09
FI-003,Both sensors invalid → SAFE_STATE,StateEvaluator,docs/fault_injection_report.md:FI-03,tests/fault_injection/fi_03_both_sensors_invalid.py,tests/fault_injection/fi_03_both_sensors_invalid.py,PASS,M6: both_sensors_invalid rule verified — verified 2026-05-09
FI-004,Malformed sensor data → no crash,DecisionNode C++ isfinite check,docs/fault_injection_report.md:FI-04,tests/fault_injection/fi_04_malformed_sensor_data.py,tests/fault_injection/fi_04_malformed_sensor_data.py,PASS,M6: NaN/neg/inf/zero all rejected gracefully — verified 2026-05-09
FI-005,Watchdog failure → SAFE_STATE <300ms,QAWatchdogServer + GPIO 25,docs/fault_injection_report.md:FI-05,tests/fault_injection/fi_05_watchdog_failure.py,tests/fault_injection/fi_05_watchdog_failure.py,PASS,M6: hardware e-stop path confirmed independent of decision_node — verified 2026-05-09
TA-001,End-to-end FTTI < 150ms,Timing Analysis,docs/safety_mechanisms.md:FTTI Analysis,pi400_supervisor/scripts/qnx_wdg_server.py,tests/fault_injection/fi_05_watchdog_failure.py,PASS,M7: watchdog FTTI: 3x30ms + overhead = 140ms; proximity FTTI: 80ms — analysis verified
TA-002,Watchdog window timing (30ms),Timing Analysis,docs/safety_mechanisms.md:SM-1,pi400_supervisor/scripts/qnx_wdg_server.py,tests/ffi/ffi_temporal_timing.py,PASS,M7: 30ms window verified under AI load; replaces original 10ms cycle requirement
TA-003,Timing independence under AI load,Timing Analysis,docs/ffi_verification_report.md:FFI-TEMPORAL,pi5_linux/ros2_ws/src/health_node/health_node/health_node.py,tests/ffi/ffi_temporal_timing.py,PASS,M7 FFI-TEMPORAL: no Q&A failures during 60s AI inference — verified 2026-05-11
FT-001,Startup sequence functional test,Functional Test,docs/safety_mechanisms.md:SM-2,pi400_supervisor/scripts/qnx_wdg_server.py,tests/fault_injection/fi_05_watchdog_failure.py,PASS,M5: Pi400 asserts e-stop at boot; releases after first valid Q&A — verified 2026-05-09
FT-002,State transitions functional test,Functional Test,docs/safety_mechanisms.md:SM-3,pi5_linux/ros2_ws/src/decision_node/src/state_evaluator.cpp,pi5_linux/ros2_ws/src/decision_node/test/test_state_evaluator.cpp,PASS,M3: 33 gtest + hardware transitions INIT→NORMAL→WARNING→SAFE_STATE — verified 2026-05-09
FT-003,Manual reset functional test,Functional Test,docs/safety_mechanisms.md:SM-3,pi5_linux/ros2_ws/src/decision_node/src/decision_node.cpp,pi5_linux/ros2_ws/src/decision_node/test/test_state_evaluator.cpp,PASS,M7: /reset held pending until all_clear; no auto-recovery — verified 2026-05-11
M1-ACC-001,Host PC to Pi5 SSH access,Platform Access,docs/project_management/M1_platform_access_baseline.md,N/A (manual test),engineering_logbook/2026-05-05.md,PASS,M1: SSH verified 2026-05-05
M1-ACC-002,Host PC to Pi400 SSH access,Platform Access,docs/project_management/M1_platform_access_baseline.md,N/A (manual test),engineering_logbook/2026-05-05.md,PASS,M1: SSH verified 2026-05-05
M1-ENV-001,Pi5 OS version documented,Platform Access,docs/project_management/M1_platform_access_baseline.md,pi5_linux/scripts/check_environment.sh,engineering_logbook/2026-05-07.md,PASS,M1: RPi OS Bookworm (Debian 12) — verified 2026-05-07
M1-ENV-002,Pi400 OS status documented,Platform Access,docs/project_management/M1_platform_access_baseline.md,pi400_supervisor/scripts/check_environment.sh,engineering_logbook/2026-05-05.md,PASS,M1: Ubuntu 22.04 LTS — verified 2026-05-05
M1-NET-001,Pi5 to Pi400 direct Ethernet ping,Ethernet Interface,requirements/interfaces.yaml:ethernet,N/A (manual test),engineering_logbook/2026-05-07.md,PASS,M1: 192.168.50.10 → 192.168.50.20 ping PASS — verified 2026-05-07
M1-NET-002,Pi400 to Pi5 direct Ethernet ping,Ethernet Interface,requirements/interfaces.yaml:ethernet,N/A (manual test),engineering_logbook/2026-05-07.md,PASS,M1: 192.168.50.20 → 192.168.50.10 ping PASS — verified 2026-05-07
M1-REP-001,Repository clone/sync to Pi5,Platform Access,docs/project_management/M1_platform_access_baseline.md,N/A (manual test),engineering_logbook/2026-05-07.md,PASS,M1: git pull on Pi5 verified — ongoing
FFI-SPATIAL,Pi5 stress does not affect Pi400 watchdog,Dual-processor architecture,docs/ffi_verification_report.md:FFI-SPATIAL,tests/ffi/ffi_spatial_stress.sh,tests/ffi/ffi_spatial_stress.sh,PASS,failure_counter stayed 0 under 30s Pi5 stress — verified 2026-05-11
FFI-TEMPORAL,AI inference does not push Q&A outside window,health_node 20ms cycle,docs/ffi_verification_report.md:FFI-TEMPORAL,tests/ffi/ffi_temporal_timing.py,tests/ffi/ffi_temporal_timing.py,PASS,no watchdog failures during 60s AI inference load — verified 2026-05-11
FFI-COMM,ROS2 flood does not affect UDP watchdog,Dedicated Ethernet UDP socket,docs/ffi_verification_report.md:FFI-COMM,tests/ffi/ffi_comm_ros_flood.py,tests/ffi/ffi_comm_ros_flood.py,PASS,failure_counter stayed 0 during 200Hz ROS2 flood — verified 2026-05-11
